# {"t_start": 1586826608.8441656, "env_id": "HalfCheetah-v2"} 
r,l,t
-299.087486,1000,15.307982
-244.250976,1000,17.529801
-328.133267,1000,41.81991
-331.739085,1000,44.010282
-365.440696,1000,51.865241
-393.456978,1000,54.087026
-334.764491,1000,61.937206
-386.915206,1000,64.13509
-289.019341,1000,71.859025
-331.547839,1000,74.074229
-355.246765,1000,81.960677
-286.011834,1000,84.161434
-322.558164,1000,92.250348
-335.428217,1000,94.462547
-310.751896,1000,102.303232
-265.281627,1000,104.516038
-162.053664,1000,112.523175
-344.202389,1000,114.729386
-283.01598,1000,122.599986
-413.469593,1000,124.811575
-217.909455,1000,132.697407
-393.196402,1000,134.901022
-197.583546,1000,142.847565
-274.776179,1000,145.054549
-275.112549,1000,152.918661
-338.669693,1000,155.113057
-293.154619,1000,163.141242
-292.549153,1000,165.325122
-297.338623,1000,173.290607
-248.50937,1000,175.464851
-313.279245,1000,183.447781
-267.239575,1000,185.659387
-252.748006,1000,193.480325
-295.879795,1000,195.669428
-243.824965,1000,203.692487
-284.686449,1000,205.896964
-256.444105,1000,213.67102
-345.732032,1000,215.89896
-256.121633,1000,223.971893
-320.108111,1000,226.158178
-241.239478,1000,234.146261
-306.703163,1000,236.361254
-182.916327,1000,238.562587
-290.767143,1000,246.367671
-260.933175,1000,248.560533
-210.359701,1000,256.620069
-364.735984,1000,258.828928
-366.844449,1000,266.741343
-256.327382,1000,268.944202
-368.508757,1000,276.873889
-249.794402,1000,279.070451
-191.996567,1000,287.015121
-164.668849,1000,289.21914
-188.163667,1000,297.100099
-170.559611,1000,299.302821
-173.234392,1000,307.34654
-283.552569,1000,309.540362
-214.435249,1000,317.342768
-141.284188,1000,319.552564
-185.488703,1000,327.654727
-148.491513,1000,329.855139
-219.411552,1000,337.540743
-201.541743,1000,339.739857
-246.021141,1000,347.694199
-218.064722,1000,349.886931
-212.734318,1000,357.841287
-222.509118,1000,360.052771
-170.226413,1000,367.989938
-227.852504,1000,370.1876
-158.230036,1000,378.261666
-211.047161,1000,380.458365
-188.740518,1000,388.150575
-89.975607,1000,390.347046
-222.67429,1000,398.428868
-159.891934,1000,400.633408
-228.920849,1000,408.352504
-125.710709,1000,410.561854
-67.673443,1000,418.554798
-119.880052,1000,420.745909
-222.299412,1000,428.798547
-142.414002,1000,431.053751
-177.232767,1000,438.922399
-98.176732,1000,441.139834
-52.863622,1000,449.231982
-87.163072,1000,451.431752
-92.529877,1000,453.63247
-21.053003,1000,461.196764
-16.499353,1000,463.414733
-110.86806,1000,471.514507
-35.791909,1000,473.712171
-63.577642,1000,481.378855
-6.346332,1000,483.588159
-1.239415,1000,491.441029
-113.055848,1000,493.627856
-90.183025,1000,501.758974
-97.853132,1000,503.980744
-68.926068,1000,511.585164
-70.869193,1000,513.788589
-67.715967,1000,521.936836
6.571085,1000,524.12446
-8.42412,1000,531.610595
48.523073,1000,533.803253
-105.735616,1000,541.763898
28.324854,1000,543.94658
-49.998996,1000,551.619781
-46.539331,1000,553.828333
29.254106,1000,561.754205
115.664108,1000,563.947564
-68.396375,1000,572.094365
-4.617855,1000,574.300586
-13.736532,1000,581.91155
-9.57586,1000,584.121521
49.723276,1000,592.245109
-27.150667,1000,594.418149
171.090527,1000,601.865841
123.934387,1000,604.059765
