eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/policy_loss_o,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,-271.669231,75,0.00832017,0.12270508,8.495501,-0.021201935,-0.08446474,0.286606,-0.628321647644043,1,2048,27.099858231842518,2048
1000.0,-300.8027035,201,0.015089875,0.21762696,8.471907,-0.019169819,-0.0431401,0.10309906,-1.0311682224273682,2,4096,37.24682589783333,4096
1000.0,-327.0180813333333,201,0.015484999,0.21616212,8.437589,-0.019638624,0.09358088,0.08972423,-0.10994887351989746,3,6144,47.42581337294541,6144
1000.0,-335.47352312500004,204,0.015651628,0.21157226,8.424988,-0.013561587,0.06306366,0.10125272,0.1102331280708313,4,8192,57.44166144588962,8192
1000.0,-330.4355365,200,0.017853606,0.23950195,8.430698,-0.018440377,0.03420683,0.06866669,-0.010648369789123535,5,10240,67.64637182303704,10240
1000.0,-328.8011636666667,196,0.017488107,0.24169922,8.477974,-0.0155284945,0.043501634,0.09898302,0.18946677446365356,6,12288,78.05028194887564,12288
1000.0,-328.82859607142854,201,0.01641697,0.22475585,8.426815,-0.01429559,0.014052972,0.05471782,0.034185707569122314,7,14336,88.2158722258173,14336
1000.0,-323.72711675000005,198,0.020164572,0.24643555,8.400396,-0.017356668,0.045360852,0.05264604,0.22543013095855713,8,16384,98.54897461994551,16384
1000.0,-315.88277338888895,201,0.01971036,0.24946289,8.37304,-0.008799268,0.033686392,0.06736235,0.31278812885284424,9,18432,108.72564448788762,18432
1000.0,-319.1187747,200,0.017592082,0.24052735,8.36979,-0.013069617,0.008366687,0.057133712,0.2973715662956238,10,20480,118.92705882689916,20480
1000.0,-317.8855159545455,199,0.020517899,0.27299803,8.451644,-0.018957444,-0.01967096,0.08050369,0.2930510640144348,11,22528,129.18742189998738,22528
1000.0,-311.0767115,201,0.019479206,0.2607422,8.375188,-0.018766697,0.0021949494,0.033003036,0.21352434158325195,12,24576,139.36769844288938,24576
1000.0,-310.754743,198,0.021184523,0.26601562,8.401461,-0.021832246,0.0041671786,0.029756408,0.38263922929763794,13,26624,149.68749300483614,26624
1000.0,-309.4759675,199,0.022215368,0.28012696,8.358137,-0.01589464,0.005184912,0.036467087,0.48412877321243286,14,28672,159.9581070470158,28672
1000.0,-307.0391694333333,199,0.0163749,0.23891601,8.341359,-0.018365074,-0.005065282,0.040202044,0.5296754539012909,15,30720,170.2085519209504,30720
1000.0,-305.99043446875,201,0.017366622,0.23613282,8.30013,-0.01634423,-0.0029586814,0.04901003,0.6977672576904297,16,32768,180.34907365986146,32768
1000.0,-304.12710894117646,198,0.016311185,0.22470704,8.282924,-0.016153298,-0.010107976,0.06846222,0.5248468518257141,17,34816,190.66557273687795,34816
1000.0,-301.9120310555556,203,0.018245315,0.24472657,8.237017,-0.017300587,0.0074751726,0.03569603,0.5629936754703522,18,36864,200.74887027801014,36864
1000.0,-301.8686646052632,196,0.016610857,0.22719726,8.222201,-0.015564727,-0.07503799,0.09019612,0.34894317388534546,19,38912,211.1601711148396,38912
1000.0,-301.180974975,199,0.016565535,0.23100586,8.219774,-0.026097586,0.045867626,0.045293055,0.49725204706192017,20,40960,221.4435868479777,40960
1000.0,-297.165069,202,0.01692687,0.24257812,8.240097,-0.016343525,-0.011880914,0.086207554,0.5300921499729156,21,43008,231.5676035010256,43008
1000.0,-296.21773966666666,197,0.016871778,0.23911133,8.179301,-0.018358454,-0.0044583376,0.07721621,0.48932600021362305,22,45056,241.91612258995883,45056
1000.0,-295.84880787234044,200,0.01866244,0.2614746,8.180672,-0.024685856,-0.0077894507,0.04599323,-0.10042476654052734,23,47104,252.14910179795697,47104
1000.0,-296.4911387959184,200,0.016439734,0.22377929,8.149007,-0.017657064,0.031892847,0.11878781,-0.1700420379638672,24,49152,262.38069509901106,49152
1000.0,-296.98762666666664,199,0.019383173,0.2609375,8.136685,-0.020042825,0.06198495,0.040267255,0.17592358589172363,25,51200,272.62705778097734,51200
1000.0,-292.51008256603774,200,0.017984055,0.25859374,8.120882,-0.018790342,-0.005381331,0.07475461,0.4162052869796753,26,53248,282.82721277489327,53248
1000.0,-288.3955937090909,198,0.017865565,0.24829102,8.04993,-0.01714974,0.0018291287,0.03623862,0.28939151763916016,27,55296,293.15002530487254,55296
1000.0,-286.29025640350875,202,0.015470324,0.22026367,8.018793,-0.01583161,0.0051493086,0.04169156,0.3146127462387085,28,57344,303.27368202991784,57344
1000.0,-282.61464494915253,196,0.016584491,0.24086913,8.085453,-0.021871205,-0.0006029475,0.05088191,0.40817344188690186,29,59392,313.6997000258416,59392
1000.0,-278.82367652459016,205,0.01722055,0.23901367,8.003436,-0.022671636,-0.0066257245,0.030960832,0.26050227880477905,30,61440,323.68376752897166,61440
1000.0,-276.6539295714286,199,0.01888918,0.25786132,7.988005,-0.019287044,0.0107212225,0.03811129,0.23680901527404785,31,63488,333.94139676191844,63488
1000.0,-275.2812834769231,199,0.01963192,0.2541504,7.973143,-0.020495672,-0.002028301,0.05127889,0.39879679679870605,32,65536,344.191882006824,65536
1000.0,-273.56010241791046,199,0.017882602,0.25014648,7.9345236,-0.020425972,-0.0070826933,0.03389935,0.21082913875579834,33,67584,354.4582454499323,67584
1000.0,-271.4000837536232,197,0.018671649,0.26176757,7.9604683,-0.021360693,-0.0048137414,0.042174973,0.2505200505256653,34,69632,364.82486710883677,69632
1000.0,-268.95609825352113,204,0.01716836,0.24423829,7.878915,-0.025900776,-0.011545577,0.054736704,0.22670716047286987,35,71680,374.8353834939189,71680
1000.0,-265.4054671369863,197,0.0210732,0.2894043,7.8266387,-0.026331773,-0.007315699,0.054798078,0.2988882064819336,36,73728,385.2075716149993,73728
1000.0,-263.42887099999996,204,0.020749161,0.26831055,7.7979875,-0.023230338,-0.010702881,0.051966123,0.43062132596969604,37,75776,395.2375832628459,75776
1000.0,-261.19216731168825,198,0.021186572,0.27856445,7.8611207,-0.02316552,0.009093264,0.03504546,0.1842404007911682,38,77824,405.5443963368889,77824
