# {"t_start": 1586826608.8409224, "env_id": "HalfCheetah-v2"} 
r,l,t
1267.036141,1000,2204.421568
1206.122592,1000,2206.57842
1126.599277,1000,2213.545201
1186.049058,1000,2215.696916
1247.846099,1000,2222.590189
1226.615742,1000,2224.75051
1224.45908,1000,2231.689322
1231.94766,1000,2233.840216
1267.962371,1000,2240.743099
1205.158487,1000,2242.908534
1244.935429,1000,2249.762614
1205.456634,1000,2251.920477
1184.653394,1000,2258.83438
1217.927251,1000,2260.994129
1259.773293,1000,2267.858586
1226.407507,1000,2270.014549
1262.301338,1000,2276.909713
1282.846314,1000,2279.062035
1277.107669,1000,2285.97874
1107.676925,1000,2288.145558
1277.389714,1000,2295.047859
1265.28559,1000,2297.208399
1201.080069,1000,2304.153309
1349.022653,1000,2306.307173
1104.463073,1000,2313.190525
1248.746796,1000,2315.357627
1247.22308,1000,2322.275304
1311.578249,1000,2324.431546
1321.775825,1000,2331.38544
1220.553695,1000,2333.533477
1266.066689,1000,2340.427778
1129.662223,1000,2342.581744
1228.967608,1000,2344.737132
1232.968405,1000,2351.718971
1310.640947,1000,2353.871033
1125.523102,1000,2360.766161
1215.445862,1000,2362.926936
1335.986009,1000,2369.82706
1257.061386,1000,2371.991051
1147.611873,1000,2378.954397
1218.37961,1000,2381.108883
1261.840475,1000,2387.995524
1265.146656,1000,2390.147879
1252.329882,1000,2397.065097
1321.002257,1000,2399.235645
1259.697163,1000,2405.962293
1313.87369,1000,2408.131915
1233.152002,1000,2414.787276
1282.732998,1000,2416.933096
1291.028151,1000,2423.641134
1240.327713,1000,2425.800107
1164.285976,1000,2432.415451
1289.518582,1000,2434.558933
1226.494892,1000,2441.207432
1361.276021,1000,2443.343524
1272.614055,1000,2449.991292
1304.991325,1000,2452.158736
1238.086464,1000,2458.836963
1322.734715,1000,2460.996199
1221.881661,1000,2468.068006
1272.989052,1000,2470.22261
1289.08262,1000,2476.929131
1318.893831,1000,2479.080147
1285.717606,1000,2485.794396
1313.084288,1000,2487.942009
1312.33131,1000,2494.60334
1224.419363,1000,2496.766947
1192.687235,1000,2503.411121
1281.13633,1000,2505.554473
1211.683204,1000,2512.249012
1307.32028,1000,2514.39835
1262.965018,1000,2521.061226
1240.762235,1000,2523.211812
1230.055694,1000,2529.889006
1279.660911,1000,2532.041604
1190.428412,1000,2534.192589
1295.983232,1000,2540.844852
1230.92757,1000,2543.009083
1262.43831,1000,2549.658225
1286.740821,1000,2551.802263
1276.511503,1000,2558.463316
1315.293047,1000,2560.615883
1342.163317,1000,2567.264849
1346.308622,1000,2569.41314
1284.726789,1000,2576.062752
1365.240532,1000,2578.214864
1286.196804,1000,2584.841834
1212.001652,1000,2587.011098
1321.609932,1000,2593.667341
1281.652655,1000,2595.82114
1279.379587,1000,2602.536997
1220.044193,1000,2604.688269
1341.149721,1000,2611.348345
1272.487831,1000,2613.492451
1319.840245,1000,2620.19452
1372.556634,1000,2622.351169
1329.411291,1000,2629.013089
1215.317136,1000,2631.166953
1354.454949,1000,2637.814963
1285.876287,1000,2639.970996
1263.513096,1000,2646.66521
1215.779298,1000,2648.81316
1387.308194,1000,2655.478401
1235.635798,1000,2657.63256
1315.19362,1000,2664.332052
1392.858311,1000,2666.480881
1289.780811,1000,2673.148325
1251.00109,1000,2675.327293
1264.878467,1000,2681.969527
1330.291839,1000,2684.116691
1319.968038,1000,2690.774311
1287.13263,1000,2692.948498
1352.167921,1000,2699.609718
1339.996407,1000,2701.760169
1317.725264,1000,2708.458896
1301.147323,1000,2710.609741
1348.067,1000,2717.363396
1260.283281,1000,2719.537165
1287.87828,1000,2721.708785
1332.319368,1000,2728.394135
1281.347633,1000,2730.568569
1276.802753,1000,2737.292561
1355.861426,1000,2739.461751
1197.103689,1000,2746.180574
1354.710648,1000,2748.351814
1323.556263,1000,2755.201426
1298.242466,1000,2757.35683
1264.003798,1000,2764.02453
1358.078076,1000,2766.203651
1346.026504,1000,2772.930883
1305.182934,1000,2775.112347
1244.172227,1000,2781.779364
1244.119525,1000,2783.93388
1259.576086,1000,2790.581058
1224.244367,1000,2792.728505
1397.699005,1000,2799.43897
1304.765446,1000,2801.592045
1316.932645,1000,2808.207603
1318.596825,1000,2810.389696
1365.473975,1000,2817.179737
1249.509187,1000,2819.323711
1315.722786,1000,2825.983866
1348.411996,1000,2828.149737
1361.216453,1000,2834.815027
1200.56647,1000,2836.963559
1324.336151,1000,2843.657478
1224.72475,1000,2845.806203
1347.352561,1000,2852.456123
1286.644764,1000,2854.613616
1303.35451,1000,2861.293358
1347.622682,1000,2863.441092
1321.719204,1000,2870.098401
1300.674208,1000,2872.262643
1334.544541,1000,2878.874688
1405.883608,1000,2881.0183
1352.926608,1000,2887.704618
1213.250251,1000,2889.859138
1296.188089,1000,2896.518293
1326.68021,1000,2898.664455
1312.374945,1000,2905.341328
1347.408174,1000,2907.504285
1328.691879,1000,2909.658237
1352.488079,1000,2916.340223
1373.671596,1000,2918.494353
1277.013394,1000,2925.13808
1324.279533,1000,2927.288933
1299.352568,1000,2934.00023
1318.352287,1000,2936.150027
1295.078744,1000,2942.802619
1376.237497,1000,2944.965695
1288.862885,1000,2951.624034
1325.558667,1000,2953.775126
1405.888261,1000,2960.428483
1348.688728,1000,2962.590979
1188.710707,1000,2969.240609
1338.748147,1000,2971.391402
1394.644023,1000,2978.08189
1492.36164,1000,2980.233074
1291.099221,1000,2986.880912
1418.722762,1000,2989.021502
1420.071267,1000,2995.702759
1284.346721,1000,2997.851651
1370.225131,1000,3004.483047
1383.962466,1000,3006.649961
1297.495942,1000,3013.302786
1287.737215,1000,3015.452184
1293.239139,1000,3022.160079
1354.420775,1000,3024.306572
1296.27728,1000,3030.930732
1323.369075,1000,3033.081715
1363.975403,1000,3039.885322
1369.771222,1000,3042.036506
1295.396986,1000,3048.689956
1321.327839,1000,3050.848564
1370.465961,1000,3057.515401
1326.550408,1000,3059.659996
1308.037577,1000,3066.344736
1393.270124,1000,3068.501788
1389.216981,1000,3075.162176
1266.985052,1000,3077.314135
1293.016439,1000,3084.014718
1322.85238,1000,3086.154474
1290.906502,1000,3092.802444
1357.634033,1000,3094.954212
1313.746978,1000,3097.112473
1324.077009,1000,3103.77109
1387.486576,1000,3105.920341
1233.154484,1000,3112.597219
1303.594687,1000,3114.748755
1369.097334,1000,3121.404848
1343.747657,1000,3123.559484
1270.36352,1000,3130.252142
