# {"t_start": 1586826608.8378425, "env_id": "HalfCheetah-v2"} 
r,l,t
-239.51742,1000,15.408965
-458.908382,1000,17.704904
-384.67091,1000,41.671081
-317.952756,1000,43.90609
-323.158646,1000,50.873348
-361.310723,1000,53.123149
-327.332623,1000,60.020277
-364.423281,1000,62.235265
-367.529291,1000,69.17734
-389.54388,1000,71.400727
-228.456992,1000,78.573925
-332.591071,1000,80.817104
-290.488211,1000,87.754619
-245.246701,1000,89.979653
-382.72485,1000,97.068299
-288.892224,1000,99.294878
-252.036128,1000,106.988309
-270.431845,1000,109.204814
-282.097417,1000,116.434532
-429.403729,1000,118.65419
-287.833919,1000,125.610617
-374.073552,1000,127.847829
-369.188538,1000,135.034824
-340.464525,1000,137.255736
-294.826936,1000,144.913121
-366.820947,1000,147.145055
-325.690088,1000,154.066119
-212.574605,1000,156.319847
-273.835129,1000,163.320595
-247.52482,1000,165.534549
-270.795751,1000,172.6644
-297.731139,1000,174.877893
-238.533887,1000,182.078719
-427.583361,1000,184.301993
-299.898478,1000,191.326501
-297.377203,1000,193.548658
-342.514798,1000,200.602392
-201.473387,1000,202.851892
-239.887131,1000,209.886434
-240.122535,1000,212.104482
-329.018195,1000,219.848083
-240.788038,1000,222.069854
-257.665189,1000,224.286453
-245.989945,1000,231.552663
-288.422125,1000,233.769274
-235.578252,1000,240.783161
-316.07865,1000,243.069051
-275.436923,1000,250.136233
-199.163857,1000,252.353063
-246.384771,1000,260.071806
-229.18377,1000,262.316329
-290.454718,1000,269.267088
-203.477667,1000,271.484281
-206.756748,1000,278.441087
-245.879902,1000,280.66374
-177.721038,1000,287.942138
-188.927424,1000,290.160792
-251.255429,1000,297.099134
-228.099819,1000,299.32411
-277.202933,1000,306.431683
-235.273086,1000,308.647233
-248.686767,1000,315.577203
-219.25289,1000,317.803571
-251.745874,1000,324.798565
-255.69953,1000,327.016159
-214.262567,1000,334.361468
-254.466177,1000,336.590308
-292.189776,1000,343.611631
-344.996233,1000,345.827342
-201.235442,1000,352.865416
-177.687334,1000,355.091949
-213.770426,1000,362.33953
-189.025407,1000,364.556994
-156.954961,1000,372.132375
-187.234894,1000,374.35436
-182.488438,1000,381.283583
-179.238532,1000,383.499107
-217.586037,1000,391.333861
-151.264474,1000,393.549121
-175.027872,1000,400.887678
-214.253079,1000,403.182025
-177.597045,1000,410.213903
-212.528413,1000,412.496075
-146.478021,1000,419.500845
-144.837497,1000,421.721875
-179.911597,1000,423.937532
-132.951598,1000,431.496317
-191.17227,1000,433.720516
-155.110082,1000,440.999163
-269.257233,1000,443.220088
-184.278957,1000,450.185593
-127.102177,1000,452.403273
-149.226797,1000,459.606035
-121.304738,1000,461.824295
-147.828093,1000,469.150025
-152.759801,1000,471.393409
-184.83464,1000,478.496412
-60.998931,1000,480.754876
-109.635612,1000,487.854415
-177.750614,1000,490.076487
-123.214304,1000,497.350572
-151.028489,1000,499.569856
-94.255157,1000,507.302805
-58.714296,1000,509.525844
-105.128264,1000,516.600906
-100.318994,1000,518.818259
-171.100083,1000,526.050409
-86.020074,1000,528.279789
-92.76857,1000,535.290509
-91.199463,1000,537.515466
-95.846538,1000,544.53355
-161.784758,1000,546.760343
-48.188405,1000,553.893409
-51.059766,1000,556.11298
-28.492727,1000,563.142133
-128.920126,1000,565.359733
-68.531796,1000,572.77062
-55.522512,1000,574.988214
-1.352649,1000,582.656062
-141.762899,1000,584.890525
-27.539278,1000,592.031199
62.580268,1000,594.247972
-49.608501,1000,601.164167
3.921843,1000,603.390268
-1.474709,1000,611.06606
20.314788,1000,613.314521
16.803537,1000,620.225061
96.816249,1000,622.465749
32.638953,1000,624.688376
-45.343425,1000,631.630928
-95.570913,1000,633.843879
89.102666,1000,640.762509
2.09877,1000,642.985969
-22.88793,1000,650.843402
108.761488,1000,653.060435
137.534924,1000,660.07169
75.530387,1000,662.305398
105.795825,1000,669.68251
86.133021,1000,671.96616
30.110746,1000,679.048249
160.268638,1000,681.275222
85.448106,1000,688.389822
120.624637,1000,690.606927
195.51608,1000,698.279975
156.353982,1000,700.524096
73.948181,1000,707.479038
95.933438,1000,709.699094
84.349797,1000,716.663943
119.507717,1000,718.897277
164.741091,1000,725.794797
194.071798,1000,728.052453
143.360343,1000,735.794527
190.129303,1000,738.012838
222.128445,1000,744.925421
148.9101,1000,747.13935
188.562075,1000,754.305586
88.726854,1000,756.547524
211.54395,1000,763.726335
162.583297,1000,765.945898
278.895076,1000,773.484327
278.217171,1000,775.707229
226.411651,1000,783.172774
293.582397,1000,785.396557
229.926793,1000,792.431831
235.985001,1000,794.648486
104.221782,1000,801.719095
295.181357,1000,803.935376
114.685972,1000,811.798414
237.570867,1000,814.020701
294.607509,1000,821.392859
249.607554,1000,823.616616
279.708513,1000,825.837921
225.902744,1000,833.122521
240.378866,1000,835.34696
346.97339,1000,842.482177
270.936611,1000,844.69772
330.907263,1000,851.859323
348.431057,1000,854.075412
347.615383,1000,861.373715
317.405487,1000,863.58416
267.271057,1000,870.770221
369.860054,1000,872.992653
386.238661,1000,880.219934
255.651231,1000,882.493581
345.715381,1000,889.480772
426.751311,1000,891.719337
321.29903,1000,898.8849
417.161807,1000,901.100145
-256.135732,1000,908.060052
403.100281,1000,910.27375
425.204592,1000,917.427898
359.768471,1000,919.642808
417.014192,1000,927.402013
367.577989,1000,929.62436
468.166761,1000,936.552819
442.915967,1000,938.767089
498.616276,1000,945.716765
426.799281,1000,947.940053
501.422238,1000,954.944498
454.868755,1000,957.161182
-46.291403,1000,964.253448
475.620569,1000,966.473687
255.211321,1000,973.350668
497.031035,1000,975.569631
472.181994,1000,983.330762
456.559975,1000,985.609458
484.943707,1000,992.726918
497.984922,1000,994.943469
558.342645,1000,1002.082165
453.693582,1000,1004.307327
551.043475,1000,1011.488039
523.065394,1000,1013.710115
563.743762,1000,1021.132994
504.537404,1000,1023.356981
437.301162,1000,1025.57354
480.972969,1000,1032.503983
120.83266,1000,1034.727316
615.784492,1000,1041.970765
566.237591,1000,1044.226548
663.815938,1000,1051.366909
491.796728,1000,1053.581658
593.493672,1000,1061.360745
489.448626,1000,1063.581665
575.191191,1000,1070.552955
663.895376,1000,1072.781349
487.834661,1000,1080.16331
578.034444,1000,1082.378172
613.869766,1000,1089.362234
625.313739,1000,1091.578102
722.184948,1000,1098.477163
619.123184,1000,1100.700883
604.714941,1000,1107.989366
706.982468,1000,1110.214621
819.139813,1000,1118.005142
649.751182,1000,1120.226805
701.006899,1000,1127.457443
603.103531,1000,1129.675271
722.865522,1000,1136.783789
665.581294,1000,1139.002141
712.792603,1000,1145.893595
529.185377,1000,1148.113245
703.055351,1000,1155.227483
696.855941,1000,1157.450058
773.270425,1000,1164.500162
731.668489,1000,1166.735879
